runID,location,customer_type,demand_charge,export_price,export_price_type,battery_size_kWh,battery_power_kW,min_soc,max_soc,one_way_efficiency,start_soc,n_horizon,n_control,old_energy_charge,new_energy_charge,energy_charge_savings,old_demand_charge,new_demand_charge,demand_charge_savings,retail_profits,battery_charge_cost,battery_discharge_revenues,battery_retail_profits,battery_export_revenue,total_profits
26,CA_Sacramento.Metro,Hospital,10,0.10531,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-260597.1036984232,-265944.68771189963,-5347.584013476502,-42782.99656766649,-37089.771478503484,5693.225089163003,345.6410756865007,-25868.163680641283,20520.579667164784,-5347.584013476498,5825.893617670022,6171.534693356522
27,CA_Sacramento.Metro,Hotel,10,0.10530999999999999,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-366956.9222091071,-364477.4528777986,2479.469331308501,-67761.42114879194,-47091.41329252087,20670.00785627107,23149.47718757957,-44497.6072634443,46977.076594752776,2479.469331308479,83.33439611154809,23232.811583691117
28,CA_Sacramento.Metro,Office,10,0.10531,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-532045.6085539975,-538526.4896025996,-6480.8810486021675,-135309.31821062052,-104977.6651426567,30331.653067963794,23850.772019361626,-77504.39265804454,71023.5116094424,-6480.8810486021375,6387.943092625166,30238.715111986792
29,CA_Sacramento.Metro,Office,10,0.10530999999999999,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-428378.59986961156,-437938.5545029394,-9559.954633327785,-136139.13242226426,-93599.266211172,42539.86621109226,32979.911577764484,-77372.03157127474,67812.07693794701,-9559.95463332771,13145.965295645745,46125.87687341021
30,CA_Sacramento.Metro,Apartment,10,0.10531,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-371826.2542969233,-362341.92144406115,9484.332852862077,-84032.50219173956,-53874.34136631155,30158.160825428015,39642.49367829009,-61328.393759816834,70812.72661267889,9484.332852862055,2.472196979744879e-15,39642.49367829009
31,CA_Sacramento.Metro,School,10,0.10530999999999999,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-385800.4581855283,-397124.76675307436,-11324.308567546077,-119236.76610671355,-84857.37900172197,34379.387104991576,23055.078537445497,-74973.25716598901,63648.9485984429,-11324.308567546092,13594.551008554305,36649.629545999815
32,CA_Sacramento.Metro,Restaurant,10,0.10531,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-477825.3174400466,-477173.45517559384,651.8622644528514,-88660.39284115976,-65303.90929705865,23356.48354410111,24008.34580855396,-64728.033568716375,65379.895833169154,651.8622644527859,0.0,24008.34580855396
33,CA_Sacramento.Metro,School,10,0.10530999999999999,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-629556.7450883541,-630891.4582938898,-1334.7132055356633,-202431.67948593735,-159648.91245031435,42782.767035623016,41448.05383008737,-75974.37845843847,74639.6652529029,-1334.7132055355905,7299.819736831742,48747.8735669191
34,CA_Sacramento.Metro,Hotel,10,0.10531,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-400631.275269088,-394247.8656904935,6383.4095785944955,-83108.33319335378,-55555.787507640525,27552.545685713252,33935.95526430775,-61334.49904345157,67717.90862204603,6383.409578594459,78.97733064447856,34014.932594952224
35,CA_Sacramento.Metro,Office,10,0.10530999999999999,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-329615.34966811753,-345349.2388090141,-15733.889140896616,-88410.93697420364,-61012.04142303345,27398.89555117017,11665.006410273558,-68913.98833265506,53180.09919175839,-15733.889140896676,15622.1899825321,27287.196392805654
