runID,location,customer_type,demand_charge,export_price,export_price_type,battery_size_kWh,battery_power_kW,min_soc,max_soc,one_way_efficiency,start_soc,n_horizon,n_control,old_energy_charge,new_energy_charge,energy_charge_savings,old_demand_charge,new_demand_charge,demand_charge_savings,retail_profits,battery_charge_cost,battery_discharge_revenues,battery_retail_profits,battery_export_revenue,total_profits,irr,npv
1,CA_Alturas.725958_TMY3,Restaurant,20,0.0,None,300,150.0,0.05,1.0,0.92,0.5,24,12,-480992.9889660077,-480372.7596888658,620.2292771419161,-174309.8711527881,-151983.47665109744,22326.394501690665,22946.62377883258,-16567.755154858824,17187.984432000638,620.2292771418142,0.0,22946.62377883248,0.1661,63214.100999999995
2,CA_Alturas.725958_TMY3,Hospital,20,0.0,None,300,150.0,0.05,1.0,0.92,0.5,24,12,-262538.4661375344,-262134.42225531122,404.04388222319534,-91205.52536615373,-82106.04603461179,9099.479331541952,9503.523213765147,-11655.738830265189,12059.782712488413,404.0438822232245,0.0,9503.523213765176,0.017269999999999997,-21752.91
3,CA_Alturas.725958_TMY3,Hotel,20,0.0,None,300,150.0,0.05,1.0,0.92,0.5,24,12,-352325.4263100411,-350117.39863064303,2208.027679398074,-132208.36910976894,-108506.52542027377,23701.843689495192,25909.871368893262,-12870.167919912925,15078.195599311035,2208.02767939811,0.0,25909.871368893306,0.19491,81908.145
4,CA_Alturas.725958_TMY3,Office,20,0.0,None,300,150.0,0.05,1.0,0.92,0.5,24,12,-457038.0489188722,-455725.4604741754,1312.5884446967975,-237038.4502731307,-216476.95724461926,20561.49302851138,21874.081473208178,-11371.906368042159,12684.494812738874,1312.5884446967154,0.0,21874.08147320809,0.15547,56447.824
5,CA_Alturas.725958_TMY3,Office,20,0.0,None,300,150.0,0.05,1.0,0.92,0.5,24,12,-406879.2444196547,-404623.40506906045,2255.839350594266,-272801.6227643262,-239547.8372496043,33253.785514721916,35509.624865316175,-11919.131290358364,14174.970640952604,2255.8393505942404,0.0,35509.624865316146,0.28462,142469.47400000002
6,CA_Alturas.725958_TMY3,Apartment,20,0.0,None,300,150.0,0.05,1.0,0.92,0.5,24,12,-332729.4193569619,-329966.0272996617,2763.392057300196,-146313.31860747535,-125419.69278497994,20893.625822495407,23657.01787979561,-10729.564239130435,13492.956296430631,2763.3920573002,0.0,23657.01787979561,0.17307999999999998,67695.717
7,CA_Alturas.725958_TMY3,School,20,0.0,None,300,150.0,0.05,1.0,0.92,0.5,24,12,-341287.26042432303,-340076.4459882345,1210.814436088549,-193863.57545642625,-175172.05077077524,18691.52468565101,19902.339121739555,-11316.786590071171,12527.601026159751,1210.814436088578,0.0,19902.339121739584,0.1356,44008.823
8,CA_Alturas.725958_TMY3,Restaurant,20,0.0,None,300,150.0,0.05,1.0,0.92,0.5,24,12,-448520.403047115,-448958.5552976377,-438.1522505226312,-156893.51659590064,-136799.42842617095,20094.088169729686,19655.93591920705,-19802.664611027623,19364.512360505018,-438.15225052260575,0.0,19655.93591920708,0.13308,42454.356
9,CA_Alturas.725958_TMY3,School,20,0.0,None,300,150.0,0.05,1.0,0.92,0.5,24,12,-494757.3454081735,-493082.9912379438,1674.3541702296936,-311805.38410918467,-289856.52372220816,21948.860386976565,23623.21455720625,-10963.240355696633,12637.59452592632,1674.3541702296882,0.0,23623.21455720625,0.17275,67482.464
10,CA_Alturas.725958_TMY3,Hotel,20,0.0,None,300,150.0,0.05,1.0,0.92,0.5,24,12,-365881.95677404007,-363600.4395032925,2281.517270747747,-148229.50923213694,-123788.42274214695,24441.086489989946,26722.60376073769,-12427.258273344474,14708.775544092305,2281.5172707478273,0.0,26722.603760737773,0.2027,87035.37599999999
