runID,location,customer_type,demand_charge,export_price,export_price_type,battery_size_kWh,battery_power_kW,min_soc,max_soc,one_way_efficiency,start_soc,n_horizon,n_control,old_energy_charge,new_energy_charge,energy_charge_savings,old_demand_charge,new_demand_charge,demand_charge_savings,retail_profits,battery_charge_cost,battery_discharge_revenues,battery_retail_profits,battery_export_revenue,total_profits,irr,npv,$/kW,$/kWh
19,CA_San.Francisco.Intl,Office,10,0.0482115,150% LMPs,200,50,0.05,1,0.92,0.5,24,12,-513932.8354,-512376.4604,1556.374995,-134927.6761,-128927.6761,6000,7556.374995,-7463.476289,9019.851284,1556.374995,0,7556.374995,0.04096,-6694.761,,
20,CA_San.Francisco.Intl,Office,10,0.064282,200% LMPs,200,50,0.05,1,0.92,0.5,24,12,-513932.8354,-512376.4604,1556.374995,-134927.6761,-128927.6761,6000,7556.374995,-7463.476289,9019.851284,1556.374995,0,7556.374995,0.04096,-6694.761,,
21,CA_San.Francisco.Intl,Office,10,0,None,100,25,0.05,1,0.92,0.5,24,12,-513932.8354,-513059.582,873.2533437,-134927.6761,-131927.6761,3000,3873.253344,-3665.870177,4539.123521,873.2533437,0,3873.253344,0.04444,-2747.645,,
22,CA_San.Francisco.Intl,Office,10,0.10531,Retail,100,25,0.05,1,0.92,0.5,24,12,-513932.8354,-513059.582,873.2533437,-134927.6761,-131927.6761,3000,3873.253344,-3665.870177,4539.123521,873.2533437,0,3873.253344,0.04444,-2747.645,,
23,CA_San.Francisco.Intl,Office,10,0.032141,LMPs,100,25,0.05,1,0.92,0.5,24,12,-513932.8354,-513059.582,873.2533437,-134927.6761,-131927.6761,3000,3873.253344,-3665.870177,4539.123521,873.2533437,0,3873.253344,0.04444,-2747.645,,
24,CA_San.Francisco.Intl,Office,20,0,None,100,25,0.05,1,0.92,0.5,24,12,-513932.8354,-513059.582,873.2533437,-269855.3521,-263855.3521,6000,6873.253344,-3665.870177,4539.123521,873.2533437,0,6873.253344,0.14288,16178.256,,
25,CA_San.Francisco.Intl,Office,20,0.10531,Retail,100,25,0.05,1,0.92,0.5,24,12,-513932.8354,-513059.582,873.2533437,-269855.3521,-263855.3521,6000,6873.253344,-3665.870177,4539.123521,873.2533437,0,6873.253344,0.14288,16178.256,,
26,CA_San.Francisco.Intl,Office,20,0.032141,LMPs,100,25,0.05,1,0.92,0.5,24,12,-513932.8354,-513059.582,873.2533437,-269855.3521,-263855.3521,6000,6873.253344,-3665.870177,4539.123521,873.2533437,0,6873.253344,0.14288,16178.256,,
27,CA_San.Francisco.Intl,Office,20,0,None,200,50,0.05,1,0.92,0.5,24,12,-513932.8354,-512376.4611,1556.374288,-269855.3521,-257855.3521,12000,13556.37429,-7463.468645,9019.842934,1556.374288,0,13556.37429,0.14,31157.037,,
28,CA_San.Francisco.Intl,Office,20,0.10531,Retail,200,50,0.05,1,0.92,0.5,24,12,-513932.8354,-512376.4604,1556.374995,-269855.3521,-257855.3521,12000,13556.37499,-7463.476289,9019.851284,1556.374995,0,13556.37499,0.14,31157.042,,
29,CA_San.Francisco.Intl,Office,20,0.032141,LMPs,200,50,0.05,1,0.92,0.5,24,12,-513932.8354,-512376.4604,1556.374995,-269855.3521,-257855.3521,12000,13556.37499,-7463.476289,9019.851284,1556.374995,0,13556.37499,0.14,31157.042,,
30,CA_San.Francisco.Intl,Office,20,0,None,400,100,0.05,1,0.92,0.5,24,12,-513932.8354,-511983.7173,1949.118044,-269855.3521,-247391.9217,22463.43045,24412.5485,-15141.15639,17090.27443,1949.118044,0,24412.5485,0.11916,45279.501,,
31,CA_San.Francisco.Intl,Office,20,0.10531,Retail,400,100,0.05,1,0.92,0.5,24,12,-513932.8354,-511983.7173,1949.118044,-269855.3521,-247391.9217,22463.43045,24412.5485,-15141.15639,17090.27443,1949.118044,0,24412.5485,0.11916,45279.501,,
32,CA_San.Francisco.Intl,Office,20,0.032141,LMPs,400,100,0.05,1,0.92,0.5,24,12,-513932.8354,-511983.7173,1949.118044,-269855.3521,-247391.9217,22463.43045,24412.5485,-15141.15639,17090.27443,1949.118044,0,24412.5485,0.11916,45279.501,,
33,CA_San.Francisco.Intl,Office,20,0,None,400,200,0.05,1,0.92,0.5,24,12,-513932.8354,-512022.8514,1909.983998,-269855.3521,-245068.1245,24787.22757,26697.21157,-15142.40372,17052.38772,1909.983998,0,26697.21157,0.13683,59692.603,,
34,CA_San.Francisco.Intl,Office,20,0.10531,Retail,400,200,0.05,1,0.92,0.5,24,12,-513932.8354,-512022.8514,1909.983998,-269855.3521,-245068.1245,24787.22757,26697.21157,-15142.40372,17052.38772,1909.983998,0,26697.21157,0.13683,59692.603,,
35,CA_San.Francisco.Intl,Office,20,0.032141,LMPs,400,200,0.05,1,0.92,0.5,24,12,-513932.8354,-512022.8514,1909.983998,-269855.3521,-245068.1245,24787.22757,26697.21157,-15142.40372,17052.38772,1909.983998,0,26697.21157,0.13683,59692.603,,
36,CA_San.Francisco.Intl,Office,20,0,None,1000,500,0.05,1,0.92,0.5,24,12,-513932.8354,-511353.549,2579.286324,-269855.3521,-230991.5822,38863.76986,41443.05619,-38422.99617,41002.28249,2579.286324,0,41443.05619,0.05419,-10376.755,,
