runID,battery_size_kWh,battery_power_kW,min_soc,max_soc,one_way_efficiency,demand_charge,start_soc,n_horizon,n_control,export_price,old_energy_charge,new_energy_charge,energy_charge_savings,old_demand_charge,new_demand_charge,demand_charge_savings,retail_profits,battery_charge_cost,battery_discharge_revenues,battery_retail_profits,battery_export_revenue,total_profits
1,8000,2000,0.05,1.0,0.92,30,0.05,24,24,0.10531,-747231.0597570171,-822785.8581274467,-75554.79837042966,-574270.9016699999,-404536.0575563485,169734.84411365163,94180.045743222,-205836.0825873715,130281.2842169418,-75554.7983704297,82700.13713092933,176880.18287415133
2,8000,2000,0.05,1.0,0.92,40,0.05,24,24,0.10530999999999999,-747231.0597570171,-822716.3017255468,-75485.24196852976,-765694.5355600001,-539381.4100751312,226313.1254848689,150827.88351633912,-205836.08258737152,130350.8406188417,-75485.24196852982,82630.58072902942,233458.46424536852
3,8000,2000,0.05,1.0,0.92,40,0.05,24,24,0.10531,-747231.0597570171,-822919.2149699798,-75688.15521296277,-765694.5355600001,-539381.4100751312,226313.12548486888,150624.97027190612,-205836.0825873715,130147.9273744087,-75688.1552129628,82833.49397346242,233458.46424536855
