runID,location,customer_type,demand_charge,export_price,export_price_type,battery_size_kWh,battery_power_kW,min_soc,max_soc,one_way_efficiency,start_soc,n_horizon,n_control,old_energy_charge,new_energy_charge,energy_charge_savings,old_demand_charge,new_demand_charge,demand_charge_savings,retail_profits,battery_charge_cost,battery_discharge_revenues,battery_retail_profits,battery_export_revenue,total_profits,irr,npv
19,CA_Arcata,School,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-320278.8002906823,-319498.72035643033,780.0799342520186,-166145.69364453582,-142079.14938715153,24066.54425738426,24846.624191636278,-23105.64509203791,23885.725026289896,780.0799342519858,0.0,24846.624191636245,0.054079999999999996,-6347.239000000001
20,CA_Arcata,Restaurant,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-428378.5508889911,-430740.3016431896,-2361.750754198467,-140697.4539762307,-115154.97882798605,25542.475148244645,23180.724394046178,-32796.73310587088,30434.982351672406,-2361.750754198474,0.0,23180.724394046167,0.04408,-16856.791
21,CA_Arcata,School,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-416566.29049908643,-413689.0108297761,2877.279669310257,-280782.82621017523,-248357.59377301275,32425.232437162485,35302.51210647274,-22512.759559598187,25390.03922890851,2877.279669310319,0.0,35302.5121064728,0.11225,59615.129
22,CA_Arcata,Hotel,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-364339.8207261929,-360637.27788386756,3702.542842325348,-145897.96657047025,-106009.52414797145,39888.44242249883,43590.98526482418,-28610.383589324512,32312.92643164996,3702.542842325445,0.0,43590.98526482428,0.15469000000000002,111904.071
23,CA_Arcata,Office,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-284110.67169920827,-284164.55537645536,-53.88367724715499,-134905.27647030214,-115069.07126313885,19836.20520716329,19782.32152991614,-23123.891394542166,23070.00771729504,-53.88367724712953,0.0,19782.321529916164,0.02254,-38475.484
24,CA_Arcata,Market,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-381717.3191604245,-381929.4737325381,-212.1545721136499,-147783.72322394862,-125687.48696769713,22096.236256251505,21884.081684137847,-23747.64273048316,23535.488158369586,-212.15457211356988,0.0,21884.08168413793,0.03611,-25037.118
25,CA_Bakersfield-Meadows.Field.723840_TMY3,Restaurant,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-504853.0364967853,-502110.1541596243,2742.8823371609906,-188636.5406671248,-158873.26400887573,29763.276658249037,32506.15899541002,-24922.95634221745,27665.838679378405,2742.8823371609506,0.0,32506.15899540998,0.09732,41973.960999999996
26,CA_Bakersfield-Meadows.Field.723840_TMY3,Hospital,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-246371.3360656143,-246471.03265504198,-99.6965894275927,-81512.17303419425,-70214.5959058753,11297.57712831894,11197.880538891346,-19709.071794018048,19609.375204590484,-99.69658942757087,0.0,11197.880538891368,-0.05231,-100160.801
27,CA_Bakersfield-Meadows.Field.723840_TMY3,Hotel,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-327228.6788342289,-325276.9449848364,1951.733849392505,-119021.36272571936,-84972.80428081709,34048.55844490226,36000.29229429476,-29997.77167938185,31949.50552877432,1951.7338493924613,0.0,36000.29229429472,0.11592000000000001,64017.169
28,CA_Bakersfield-Meadows.Field.723840_TMY3,Office,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-518098.4060754562,-516903.0993054458,1195.306770010444,-258407.9685612423,-228107.4942063353,30300.474354906968,31495.781124917412,-23016.824291872832,24212.131061883287,1195.3067700104511,0.0,31495.781124917416,0.09183,35599.857
29,CA_Bakersfield-Meadows.Field.723840_TMY3,Office,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-416369.56458706135,-412975.3656269129,3394.198960148322,-253788.65982147696,-214352.5600948559,39436.09972662106,42830.29868676938,-22859.698300571366,26253.897260719616,3394.1989601482487,0.0,42830.29868676931,0.15089,107105.17800000001
30,CA_Bakersfield-Meadows.Field.723840_TMY3,Apartment,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-350124.035386028,-344805.342339231,5318.69304679701,-150433.93947302902,-117744.79551385825,32689.14395917076,38007.83700596777,-21476.665527773654,26795.358574570604,5318.693046796947,0.0,38007.83700596772,0.12637,76682.033
31,CA_Bakersfield-Meadows.Field.723840_TMY3,School,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-381295.8942607319,-378030.0859973578,3265.808263374028,-229061.69276408732,-200475.39419061868,28586.298573468663,31852.10683684269,-21995.42260827179,25261.23087164583,3265.808263374041,0.0,31852.106836842715,0.09377,37847.786
